Collection,"Command And Control","Credential Access","Defense Evasion",Discovery,Execution,Exfiltration,Impact,"Initial Access","Lateral Movement",Persistence,"Privilege Escalation"
,,,Rootkit,,,,,,,"Systemd Service",
,,,Rundll32,,,,,,,"Time Providers",
,,,Scripting,,,,,,,Trap,
,,,"Signed Binary Proxy Execution",,,,,,,"Valid Accounts",
,,,"Signed Script Proxy Execution",,,,,,,"Web Shell",
,,,"SIP and Trust Provider Hijacking",,,,,,,"Windows Management Instrumentation Event Subscription",
,,,"Software Packing",,,,,,,"Winlogon Helper DLL",
,,,"Space after Filename",,,,,,,,
,,,"Template Injection",,,,,,,,
,,,Timestomp,,,,,,,,
,,,"Trusted Developer Utilities",,,,,,,,
,,,"Valid Accounts",,,,,,,,
,,,"Virtualization/Sandbox Evasion",,,,,,,,
,,,"Web Service",,,,,,,,
,,,"XSL Script Processing",,,,,,,,
